workerid,age,ethnicity,feedback,gender,race,time
971,19,Non-Hispanic,The player's starting distance the the door was my primary influence.,Male,White,349446
977,33,Non-Hispanic,"So long as the same number of doors appeared in both sides and nothing else changed, I didn't see a clear enough pattern to determine which one was better, so they seemed about equally likely.",Female,White,424463
988,21,Non-Hispanic,"whether the gate was open or closed at the start, what the result was in the experiment before, how many tiles there were with the time",Female,White,357847
983,31,Non-Hispanic,"The chance of making it to the star if the door was closed would usually be slim, you'd have to hope it opened before you got to it otherwise you're wasting steps.",Non-binary,White,389744
964,20,Non-Hispanic,"How many times the red or blue path had worked in the past, whether there was a door present and if it was opened or closed.",Female,White,242940
951,54,Non-Hispanic,"It all seemed random to me, so only a 50/50 chance, but sometimes I wanted to be optimistic.",Female,White,398446
975,22,Non-Hispanic,,Female,Multiracial,327375
953,59,Non-Hispanic,"At first it was kind of random, then I realized if the door was shut to start, it often would open. But if it was open to start, if it was near the end, it would likely close before the man got that far.",Female,White,389112
968,31,Non-Hispanic,"If the door is close to the starting point, then there is higher chance of winning.",Male,Asian,333838
986,25,,The frequency of losses and length of the path influenced my decisions ,Male,White,507467
999,42,Non-Hispanic,Whether there was a door or not,Male,White,294586
957,20,,IF THERE WAS A DOOR OR NO DOOR AND IF IT WAS CLOSED ORIGINALLY OR OPENED.,Female,Black/African American,688536
954,36,Non-Hispanic,"If the door was already closed, it seemed less likely to succeed",Female,White,767071
955,19,Non-Hispanic,I realized the odds of winning are prob closer to not winning if it takes 7 moves to win and the doors open randomly most of the time. I accidentally answered not winning on one of them without doors by mistake.,Male,White,373614
982,22,Non-Hispanic,"It seemed like blue tended to win more often than red, so that changed my answers over time",Female,White,269490
945,28,Non-Hispanic,If there were doors,Female,White,306374
962,20,,The doors being open or closed influenced my decisions.,Male,Black/African American,739094
943,28,Non-Hispanic,how far the door was from start and if it was already closed,Female,White,335660
979,34,Non-Hispanic,Whether there was a door or not.,Female,White,354058
967,,Non-Hispanic,"I assumed randomness, so put at 50% every time ",Male,White,568480
994,30,Non-Hispanic,"Basically if doors were a factor, you can't know either way whether the player can make it, so I chose a middle ""indeterminate"" answer.",Trans Man,White,742885
981,22,Non-Hispanic,"Since we have no way of knowing if the doors will open or close, there should be an equal chance of the player winning or losing for each round. I made a mistake on the round with no doors, there should have been a 100% chance of them winning in that scenario regardless of the path ",Female,Multiracial,355041
997,34,Non-Hispanic,"I stayed neutral on all the ones with doors on each path because the doors are random, so I felt there was an equal chance for each",Female,White,748684
974,27,,The amount of walls!,Female,White,311049
991,50,Non-Hispanic,No comments,Female,White,624182
993,77,Non-Hispanic,All were WAGs,Male,White,676259
960,21,Non-Hispanic,,Male,White,219510
973,31,Non-Hispanic,I went with my instincts and what the pattern had been with the doors opening and closing randomly,Female,White,484361
947,20,Non-Hispanic,How often each color won.,Female,White,268594
952,48,Non-Hispanic,"This is lame. 

Because gates can randomly close, the probability of any path leading to success is not controlled by the selection made unless the path does not have a gate at all.",Female,White,529424
998,58,Non-Hispanic,"this is kinda stupid. becauze the doors open and close randomly, you cannot predict.  the I missed the one maze where there were no doors--that one should have been all the way to 'will make it'....but all the other ones were random chance.",Female,White,446755
950,19,Non-Hispanic,if the previous path had either the blue or red path win,Female,White,277061
996,,Non-Hispanic,Whether or not the doors were ipen,Female,White,454203
966,26,Non-Hispanic,I tried to determine a pattern between when the doors on each path would open,Female,White,330432
959,21,Non-Hispanic,I decided to respond based on how quickly the door opened in previous scenarios.,Female,Asian,362025
958,20,Non-Hispanic,whether or not a door was open or closed or if there were no doors,Male,White,295428
956,19,Non-Hispanic,"I thought about how close the doors were to the start, and if they were open or closed, but this was the same for either path.",Female,White,374508
944,29,,,Female,White,379613
990,41,Non-Hispanic,"if there was a door it was about a 50% chance it would work, without a door they could easily make it",Female,White,879243
978,25,Non-Hispanic,"If there were doors open or not. Also kind of based on how things turned out during the previous game. But mostly, I just felt it was based on luck.",Female,White,406692
946,30,Hispanic,"if a door was open, more then likely it would close and result in a lose and if it was closed then there is a 50 50 shot it would open or stay closed so just had to gamble",Male,Latino/Hispanic,423684
961,20,Non-Hispanic,,Female,White,337926
995,25,Non-Hispanic,I chose down the middle for the most part because there is no clear way to tell which path will allow the player to succeed. ,Female,White,495753
948,54,Non-Hispanic,"Since the door opening was random, I corresponded my answer random for the door closed options.  FOr the other, it was also random as to when the door would CLOSE but either way, it was a ton of fun and I want to play again!  :)",Female,White,515561
949,37,Non-Hispanic,"Over time I thought I noticed a correlation between the location of the doors relative to the starting point and how quickly they closed. For example I suspected that an open door closer to the starting line might stay open longer than an open door farther from the starting line would. 
Also, I think you may have placed an attention check partway through the experience, when there was a map with no doors on either side. At the time I answered that there was a low degree of likelihood that the player would make it through in time. My reasoning at the time was that there was a chance that the game was rigged and that a door might suddenly magically appear. Maybe this was considered ""metagaming"" since doing so required me to respond as if I was not aware of the rules. I just wanted to point this out in case it was indeed an attention check that would have given the impression that I failed it.",Male,White,471202
970,18,Non-Hispanic,I mainly based my predictions on the previous attempts.,Male,White,238746
984,40,Non-Hispanic,No Factors.  I guessed because there is no way to predict if the door would open or when it would open. ,Female,American Indian/Alaska Native,739441
980,39,,Whether there were doors or not,Female,White,404311
965,21,Non-Hispanic,I tried to gauge how much time was left and if the doors were open or not.,Female,Asian,204422
972,19,Non-Hispanic,,Male,Asian,399990
